earn1,earn2,earn3,earn4,earn5,earn6,aid1,aid2,aid3,aid4,aid5,aid6,xsexf,xhsdip,xchld05,single,grd1720,grade16,grd1315,grade12,grde911,white,hisp,black,age,paid1,paid2,paid3,paid4,tcpp1,tcpp2,tcpp3,tcpp4,tcpp5,tcpp6,tcpp7,tcpp8,tcpp9,tcpp10,tcprn1,tcprn2,tcprn3,tcprn4,tcprn5,tcprn6,tcprn7,tcprn8,tcprn9,tcprn10
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5908.5908203125,4814.59912109375,4946.25537109375,7125.1484375,10172.9912109375,10262.9052734375,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,23,0,0,0,0,1,1,1,1,1,1,1,1,1,1,7224,8650.4306640625,7512.26171875,8295.458984375,7052.701171875,6078.83544921875,4926.0595703125,5345.87548828125,4466.72607421875,4620.4482421875
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,29,0,1,1,1,1,1,1,0,0,1,1,0,0,0,675.008056640625,894.19818115234375,635.84783935546875,0,0,2856.060302734375,1047.725341796875,0,0,0
2007.1904296875,4714.05517578125,3273.704345703125,4220.240234375,4148.6748046875,5042.18310546875,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,39,0,1,1,1,1,1,1,1,1,1,0,1,1,1,4291.8818359375,3116.842041015625,3826.026611328125,2018.2353515625,2258.199951171875,1942.8017578125,0,706.027099609375,2993.2890625,800.3897705078125
0,1077.3033447265625,452.564453125,502.48321533203125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,356.6470642089844,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,58,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,45,1,1,1,1,1,1,0,0,0,0,0,0,0,0,185.23529052734375,1615.5999755859375,0,0,0,0,0,0,0,0
1549.2490234375,3221.5556640625,1445.6461181640625,1463.3836669921875,1911.669921875,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,427.6999816894531,243.7794952392578,1082.7470703125,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,29,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,5666.7412109375,4260.74951171875,3584.777099609375,4629.5625,4410.2509765625,4037.998046875,3209.024658203125,5419.8896484375,3142.5068359375
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,0,32,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,62.20588302612305,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,47,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,49,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1997.9716796875,0,1935.2646484375,3070.361572265625,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,30,1,1,1,1,1,1,1,1,1,0,0,1,1,0,80.17646789550781,506.79998779296875,5333.4873046875,4297.81201171875,1985.791015625,0,0,1311.2318115234375,659.79949951171875,0
1736.33203125,3312.15185546875,3155.1669921875,3666.01123046875,205.00450134277344,4071.943359375,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,42,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1647.800048828125,1452.137939453125,0,0,0,333.12725830078125,268.2065124511719,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,37,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,551.9407958984375,523.7198486328125,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,212.60096740722656,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,53,0,1,1,1,1,1,0,0,0,1,1,0,0,0,3198.383056640625,442.3529357910156,0,0,0,277.5218505859375,845.04425048828125,0,0,0
1214.2589111328125,6963.9697265625,9266.70703125,8919.0087890625,8125.71875,8029.40283203125,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,38,0,0,0,0,1,0,0,1,0,0,1,1,1,1,2973.60009765625,0,0,326.4117126464844,0,0,6581.48974609375,10252.3837890625,8657.0205078125,10634.5556640625
0,0,0,0,878.84002685546875,1155,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,30,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,34,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1729.7796630859375,2394.2353515625,2137.800048828125,3472.935302734375,3309.95654296875,2397.041015625,427.61273193359375,0,0,0
0,0,0,602.01654052734375,705.23748779296875,132.92779541015625,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,27,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,21,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,43,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,42,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1181.9117431640625,2585.800048828125,3597.728515625,3234.40625,3315.8828125,3528.5322265625,3374.018798828125,2097.970947265625,3475.943603515625
0,0,597.9359130859375,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,32,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1475.4405517578125,4622.58837890625,1474.199951171875,0,0,0,0,0,0
0,0,97.46624755859375,1545.8927001953125,1830.3123779296875,1479.2705078125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,25,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1676.89013671875,209.6833953857422,0,0,0,0,0,0,0,0
0,546.19140625,2291.386474609375,1168.4913330078125,807.9837646484375,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,48,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,694.28900146484375,0
0,0,381.8943176269531,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,26,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1743.532958984375,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,31,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1451.4705810546875,1673,1547.15087890625,51.31715774536133,126.53845977783203,1332.2900390625,16.214157104492188,0,734.77667236328125,3483.3515625
0,2521.3818359375,4127.3818359375,4940.162109375,4304.90869140625,6413.75244140625,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,29,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5161.80419921875,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,31,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,135.59329223632812,4795.54248046875,0
0,396.1070251464844,726.3348388671875,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,31,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,185.72581481933594,2582.232666015625
192.0052490234375,4639.26953125,6126.7431640625,6974.259765625,6680.228515625,7109.0498046875,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,35,0,0,0,0,1,1,1,1,1,1,0,0,0,1,4491.28271484375,4117.28564453125,2455.058837890625,4741.7998046875,2802.17236328125,3356.997314453125,0,0,0,1174.1485595703125
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,451.74530029296875,5403.888671875,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,36,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3828.8779296875,4896.07275390625,4924.58544921875,5527.06201171875,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,33,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1000.6719970703125,4077.123779296875,7964.24365234375
0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,46,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1611.9222412109375,3853.209716796875,6726.734375,5699.7666015625,284.1838684082031,41.767578125,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,28,0,0,0,0,1,1,1,1,1,1,1,1,0,1,5834.91162109375,6522.60009765625,5374.6123046875,5120.31201171875,3596.280517578125,4292.12646484375,4772.8583984375,3516.4853515625,0,590.6290283203125
0,3420.6591796875,3857.7177734375,4885.0390625,7924.99951171875,5255.8857421875,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1051.361328125,1224.6875,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,40,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,4644.7060546875,4032,4764.82763671875,3535.181884765625,2835.61181640625,2059.5224609375,4290.85595703125,4774.076171875
808.12347412109375,2099.487548828125,1949.5955810546875,1974.31884765625,701.06573486328125,3401.63525390625,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,0,38,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1885.800048828125,1918.6939697265625,1928.6697998046875,885.76922607421875,581.7860107421875,1412.105712890625,2081.58056640625,0,3040.757568359375,3452.54345703125
0,0,0,0,1714.072265625,5115.94970703125,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,28,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,32,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,724.3236083984375,0,0,0,0,395.82342529296875
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,27,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1094.77587890625,3128.921142578125,1668.0069580078125,0,0,0
0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1660.2276611328125,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1174.80078125,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,32,1,1,1,1,1,1,1,1,1,0,0,1,0,0,2757.794189453125,1601.5999755859375,1483.336181640625,1185.9964599609375,740.53759765625,0,0,210.09510803222656,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,107.62923431396484,0,0,0,159.15248107910156,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,30,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,179.74212646484375,0,129.7132568359375,0,0
0,2435.032958984375,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,34,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,3153.862060546875,8542.880859375,6559.86865234375,6433.09912109375,6515.1435546875,7025.5205078125,5932.197265625,5842.8466796875
366.3235168457031,7083.20849609375,1714.6690673828125,0,1069.382080078125,614.0985107421875,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,34,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,4056.90625,5111.8662109375,6159.65966796875,5365.412109375,1081.7662353515625,10043.947265625,0,0
460.3948669433594,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2618.982177734375,0,0,0,326.67425537109375,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,30,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,44.22043228149414,481.2817077636719,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,39,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,37,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,36,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,517.04254150390625,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,28,0,0,0,0,1,1,0,0,0,1,1,1,1,0,656.35906982421875,887.4705810546875,0,0,0,2696.1318359375,2670.39794921875,144.45339965820312,819.5198974609375,0
0,0,0,0,373.2249755859375,1983.245361328125,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,28,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2016,3902.62060546875,3637.816162109375,2803.977294921875,1690.0885009765625,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,31,0,0,0,0,1,1,1,1,1,1,1,1,1,0,612.81658935546875,3560.748046875,4105.58837890625,3140.199951171875,3033.3232421875,3265.766845703125,3642.29443359375,2763.483642578125,910.94085693359375,0
1032.247802734375,421.3148193359375,4023.03466796875,3436.795654296875,4444.453125,3512.2548828125,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,21,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,235.20364379882812,3134.70263671875,2500.2255859375,1841.0439453125,0,0,0
1112.9599609375,2002.8250732421875,886.27081298828125,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,26,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3371.199951171875,3509.80615234375,3766.109130859375,3494.18701171875,2938.01953125,2949.502685546875,3069.474609375,1258.11767578125,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,46,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2203.6708984375,3928.682373046875,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1236.101806640625,1143.1722412109375,1157.993408203125,1136.875,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,30,1,0,0,0,1,1,1,1,1,1,1,1,1,1,445.0699157714844,2554.330810546875,2894.64697265625,3656.800048828125,3679.978515625,3379.804931640625,3254.051513671875,3660.888671875,2821.263427734375,2650.7744140625
0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,25,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,120.3324966430664,193.5294189453125,369.6000061035156,0,212.39601135253906,102.0935287475586,266.1671142578125,85.49283599853516,0
15000,15000,0,15000,15000,15000,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,38,0,0,0,0,1,1,1,1,1,1,1,1,1,1,9167.8994140625,15000,15000,15000,15000,15000,15000,15000,15000,15000
0,0,0,0,0,691.42498779296875,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1061.3814697265625,580.91107177734375,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,23,1,1,1,1,1,0,0,0,0,0,1,1,0,0,52.52941131591797,0,0,0,0,0,1308.9248046875,298.0072326660156,0,0
0,0,68.82011413574219,537.87176513671875,6778.08740234375,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78.553375244140625,44.42414474487305,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,497.6720886230469,545.8341064453125
0,0,2721.528076171875,0,0,1784.7791748046875,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,312.4910583496094,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,518.9935302734375,259.5937805175781,2389.053955078125,4202.453125,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,902.70367431640625,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,26,0,1,1,1,1,1,1,1,1,1,0,0,0,0,2721.85302734375,4404.39990234375,3305.59912109375,3771.81103515625,2883.063720703125,2577.312255859375,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,41,1,1,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,848.1585693359375,1466.69580078125,741.7772216796875,0,253.30615234375,1505.54248046875,0
79.56591033935547,90.76544952392578,0,0,16.61551856994629,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,25,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,995.50860595703125,692.7816162109375,2154.02978515625,235.62335205078125,0,0
0,0,0,609.415771484375,1701.784423828125,0,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,38,1,1,1,1,1,1,1,0,1,1,1,1,0,0,405.0294189453125,595,246.75,0,848.38287353515625,1695.90625,1964.861083984375,2066.68017578125,0,0
0,0,0,0,1500.1624755859375,569.3814697265625,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,37,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,647.98931884765625,4315.56103515625,6513.64697265625,5597.2001953125,5897.89208984375,6702.5908203125,5954.4970703125,6610.5439453125,9047.5
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,35,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,27,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,342.2574157714844,2264.43896484375,2356.911865234375,2142,3121.24560546875,778.31024169921875,790.8653564453125,629.78338623046875,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,33,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1667.8216552734375,3915.046630859375,3236.134765625,3935.45654296875,4500.6171875,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2400.564697265625,218.3316192626953,3140.921875,1372.021728515625,3066.724609375,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,35,1,1,1,1,1,1,0,0,0,0,1,1,1,0,468.06744384765625,668.66583251953125,0,0,0,0,132.2902069091797,258.894775390625,819.552001953125,0
0,0,0,0,0,496.5051574707031,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,25,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,468.9817810058594,520.533203125,427.61273193359375,0,0,0,0,1846.6741943359375
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,40,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1076.5999755859375,2959.581787109375,2783.955810546875,2194.2919921875,2068.249267578125,106.12903594970703,664.55615234375,2117.3564453125,2425.95947265625
0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,29,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1141,4113.91796875,4667.01025390625,4919.1826171875,3985.234375,3649.65966796875,3728.070556640625,3200.02734375
0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,34,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,116.88907623291016,0,0,0,0
0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,43,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2233.1162109375,0,0,0,0,0,0
